Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
815000;2.6358333333333333;48.97833333333333;"48°58'42.000""N 2°38'9.000""E";77294;ZI MITRY COMPANS;R FERNAND FOREST;77290;MITRY MORY;Pylône tubulaire;35.0;SFR
815014;2.6675;48.834722222222226;"48°50'5.000""N 2°40'3.000""E";77121;"";"ALL DU CHÂTEAU D'EAU (À CÔTÉ DE L'ÉCHANGEUR )";77090;COLLEGIEN;"Château d'eau - réservoir";29.9;"Commune, communauté de commune"
815028;2.618888888888889;48.745555555555555;"48°44'44.000""N 2°37'8.000""E";77249;"";R DE LA FONTAINE PRÈS D.51 E1;77150;LESIGNY;Bâtiment;19.0;ORANGE Services Fixes
815039;2.6658333333333335;49.04638888888889;"49°2'47.000""N 2°39'57.000""E";77259;LA MAISON NEUVE;PRÈS D.401 CENTRAL TÉLÉPHONIQUE;77230;LONGPERRIER;Pylône tubulaire;35.5;TOTEM
815060;2.345833333333333;48.84861111111111;"48°50'55.000""N 2°20'45.000""E";75105;"";PLACE MARCELIN BERTHELOT;75005;PARIS 5E ARRONDISSEMENT;Immeuble;35.0;"Ets public , Minist, Synd mixt"
815066;2.3497222222222223;48.868611111111115;"48°52'7.000""N 2°20'59.000""E";75102;"";"104 R D'ABOUKIR";75002;PARIS 2E ARRONDISSEMENT;Immeuble;32.5;Particulier
815099;2.3375;48.85111111111111;"48°51'4.000""N 2°20'15.000""E";75106;"";5/7 R DE TOURNON;75006;PARIS 6E ARRONDISSEMENT;Immeuble;27.0;"Copropriété, Syndic, SCI"
815102;2.339444444444444;48.85194444444444;"48°51'7.000""N 2°20'22.000""E";75106;"";91 BD ST GERMAIN;75006;PARIS 6E ARRONDISSEMENT;Immeuble;30.0;"Copropriété, Syndic, SCI"
815138;2.770277777777778;48.8825;"48°52'57.000""N 2°46'13.000""E";77111;"";1 R CHALIFERT - D.5 CENTRAL TÉLÉPHONIQUE;77700;CHESSY;Pylône autostable;17.0;TOTEM
815595;2.125;48.8775;"48°52'39.000""N 2°7'30.000""E";78190;"";ALLÉE DE GIVERNY STADE DU CHEM DE RONDE;78290;CROISSY SUR SEINE;Pylône autostable;29.0;"Commune, communauté de commune"
815631;2.5411111111111113;49.01416666666667;"49°0'51.000""N 2°32'28.000""E";77282;"";ROISSY CDG AÉROGARE 1 TERMINAL 1;77990;MAUREGARD;Bâtiment;52.0;"CCI,Ch Metiers,Port Aut,Aérop"
815640;2.598333333333333;48.88;"48°52'48.000""N 2°35'54.000""E";77108;"";2 AV DE CLAYE COMMISSARIAT;77500;CHELLES;Pylône autostable;29.0;Intérieur
815654;2.6875;49.05277777777778;"49°3'10.000""N 2°41'15.000""E";77153;LE VERGER DE LA TUILERIE;INTERSECTION D.41B ET D.401 BD  DE LA GARE;77230;DAMMARTIN EN GOELE;Pylône tubulaire;24.0;TOTEM
815665;2.6702777777777778;48.87444444444444;"48°52'28.000""N 2°40'13.000""E";77438;"";R DU GRAND POMMERAYE;77400;SAINT THIBAULT DES VIGNES;Pylône autostable;30.0;TOTEM
815669;2.693888888888889;49.04666666666667;"49°2'48.000""N 2°41'38.000""E";77420;LES MÉNITRES;CHEM DE DAMMARTIN EN GOELE;77230;SAINT MARD;Pylône autostable;36.0;TOTEM
815673;1.5680555555555555;49.0175;"49°1'3.000""N 1°34'5.000""E";78089;HAMEAU DE MORVENT;"";78270;BONNIERES SUR SEINE;"Château d'eau - réservoir";36.1;"Commune, communauté de commune"
815676;2.5930555555555554;48.74027777777778;"48°44'25.000""N 2°35'35.000""E";77249;"";R BOSSUET ALLÉE DE MME DE LESIGNY;77150;LESIGNY;"Château d'eau - réservoir";46.0;"Commune, communauté de commune"
815683;2.1352777777777776;48.790277777777774;"48°47'25.000""N 2°8'7.000""E";78646;"";R DE LA PORTE DE BUC;78000;VERSAILLES;Pylône tubulaire;25.0;TOTEM
815693;2.6174999999999997;48.8825;"48°52'57.000""N 2°37'3.000""E";77108;"";2 ALLÉE DE PICARDIE;77500;CHELLES;Immeuble;17.0;SNCF Réseau
815695;2.0322222222222224;48.94222222222222;"48°56'32.000""N 2°1'56.000""E";78123;"";222 AV ERNEST JOLLY;78955;CARRIERES SOUS POISSY;Immeuble;30.0;Société HLM
815697;1.8161111111111112;48.78194444444444;"48°46'55.000""N 1°48'58.000""E";78420;"";13 R DE LA CROIX DE ROME HLM LA GUINANDE;78490;MONTFORT L AMAURY;Immeuble;19.5;Société HLM
815712;1.963888888888889;48.8;"48°48'0.000""N 1°57'50.000""E";78490;"";R JACQUES MONOD RN.12/D.30;78370;PLAISIR;Pylône tubulaire;30.0;ORANGE
815714;2.17;48.973055555555554;"48°58'23.000""N 2°10'12.000""E";78551;FROMAINVILLE;"RTE DES NOYERS STATION D'ÉPURATION D'ACHÈRES";78100;SAINT GERMAIN EN LAYE;Pylône tubulaire;18.0;TOTEM
815718;2.0125;48.98277777777778;"48°58'58.000""N 2°0'45.000""E";78624;CHEVERCHEMONT;43 R DES RÉSERVOIRS;78510;TRIEL SUR SEINE;"Château d'eau - réservoir";20.0;"Commune, communauté de commune"
815720;2.1530555555555555;48.80111111111111;"48°48'4.000""N 2°9'11.000""E";78646;"";2 ALLÉE MAURICE DORMANN;78000;VERSAILLES;Immeuble;27.0;Société HLM
815725;2.0294444444444446;48.90972222222222;"48°54'35.000""N 2°1'46.000""E";78133;"";R DU MUR DU PARC STADE;78240;CHAMBOURCY;Pylône tubulaire;20.0;TOTEM
815727;2.332777777777778;48.761944444444445;"48°45'43.000""N 2°19'58.000""E";94034;"";54 AV DE LA PAIX STADE DE LA PAIX;94260;FRESNES;Pylône autostable;38.0;HIVORY
815733;2.0455555555555556;48.92888888888889;"48°55'44.000""N 2°2'44.000""E";78498;"";49 BD VICTOR HUGO;78300;POISSY;Bâtiment;19.0;ORANGE Services Fixes
815735;2.332777777777778;48.76277777777778;"48°45'46.000""N 2°19'58.000""E";94034;"";52 AV DE LA PAIX;94260;FRESNES;Pylône autostable;40.0;ATC FRANCE
815737;2.8833333333333333;49.03472222222222;"49°2'5.000""N 2°53'0.000""E";77274;"";R DE LA BORNE BLANCHE SILOS CERIFRA;77139;MARCILLY;Silo;37.0;Société Privée
815747;2.6869444444444444;48.96805555555556;"48°58'5.000""N 2°41'13.000""E";77292;"LE TROU D'ARGENT";D139;77410;MESSY;Pylône autostable;36.0;ATC FRANCE
815749;1.8319444444444444;48.94416666666667;"48°56'39.000""N 1°49'55.000""E";78230;"";PL DE LA LIBÉRATION EGLISE DE LA FALAISE;78410;FALAISE;Monument religieux;22.0;"Commune, communauté de commune"
815759;2.153611111111111;48.88166666666667;"48°52'54.000""N 2°9'13.000""E";78146;VIEUX CROISSY;7 AV DES POMMEROTS;78400;CHATOU;Immeuble;19.0;Société Privée
815763;1.9555555555555557;48.81916666666667;"48°49'9.000""N 1°57'20.000""E";78490;"";R DU VALIBOUT STADE BERNARD GIROUX;78370;PLAISIR;Pylône tubulaire;30.0;TOTEM
815767;1.975;48.988055555555555;"48°59'17.000""N 1°58'30.000""E";78642;"";R DU ROUILLARD;78480;VERNEUIL SUR SEINE;Pylône autostable;32.0;SNCF Réseau
815790;2.631111111111111;48.91888888888889;"48°55'8.000""N 2°37'52.000""E";77363;"";"R D'ENFER STADE COMMUNAL";77181;PIN;Pylône tubulaire;29.0;TOTEM
815801;2.628888888888889;48.79805555555556;"48°47'53.000""N 2°37'44.000""E";77373;ZAC DE POMTAULT-COMBAULT;R DU LUXEMBOURG;77340;PONTAULT COMBAULT;Pylône tubulaire;36.0;TOTEM
815803;2.136388888888889;48.76111111111111;"48°45'40.000""N 2°8'11.000""E";78343;"";19 R DE LA DIVISION LECLERC;78350;LOGES EN JOSAS;Pylône autostable;27.0;TOTEM
815805;2.725833333333333;48.733333333333334;"48°44'0.000""N 2°43'33.000""E";77215;"";R DE MAISON ROUGE;77220;GRETZ ARMAINVILLIERS;Pylône autostable;38.0;TOTEM
815809;2.886111111111111;48.86694444444444;"48°52'1.000""N 2°53'10.000""E";77047;CHAMP DÉSERT;CHEM RURAL;77580;BOULEURS;"Château d'eau - réservoir";25.0;"Commune, communauté de commune"
815816;2.071111111111111;48.89277777777778;"48°53'34.000""N 2°4'16.000""E";78551;"";30 AV ST FIACRE CT FT;78100;SAINT GERMAIN EN LAYE;Immeuble;28.0;ORANGE Services Fixes
815819;2.138611111111111;48.893055555555556;"48°53'35.000""N 2°8'19.000""E";78650;"";29 BD  CARNOT;78110;VESINET;Bâtiment;27.0;ORANGE Services Fixes
815939;1.9772222222222222;48.77444444444444;"48°46'28.000""N 1°58'38.000""E";78621;"";63 AV DU PASTEUR MARTIN LUTHER KING;78190;TRAPPES;Immeuble;30.0;ORANGE Services Fixes
815941;2.8983333333333334;48.92944444444444;"48°55'46.000""N 2°53'54.000""E";77330;"";"18 PL DE L'EGLISE";77100;NANTEUIL LES MEAUX;Monument religieux;29.0;"Commune, communauté de commune"
815944;2.1875;48.780277777777776;"48°46'49.000""N 2°11'15.000""E";78640;"";9/11 AV LOUIS BREGUET;78140;VELIZY VILLACOUBLAY;Bâtiment;24.0;ORANGE Services Fixes
815949;2.7880555555555553;48.870555555555555;"48°52'14.000""N 2°47'17.000""E";77111;MARNE LA VALLÉE;DISNEYLAND PARIS HÔTEL NEW-YORK AV RENÉ GOSCINNY;77700;CHESSY;Bâtiment;34.0;Société Privée
816411;2.761388888888889;49.01972222222222;"49°1'11.000""N 2°45'41.000""E";77308;LES PRÉS SACHET;ZA LA TURCANTE;77230;MONTGE EN GOELE;Pylône autostable;36.0;TOTEM
816446;2.1555555555555554;48.80722222222222;"48°48'26.000""N 2°9'20.000""E";78646;"";3 R ST NICOLAS;78000;VERSAILLES;Immeuble;19.0;"Copropriété, Syndic, SCI"
816476;2.138611111111111;48.87416666666667;"48°52'27.000""N 2°8'19.000""E";78190;"";6 B  RTE DU ROI;78290;CROISSY SUR SEINE;Immeuble;20.0;"Copropriété, Syndic, SCI"
816490;2.058611111111111;48.812777777777775;"48°48'46.000""N 2°3'31.000""E";78545;LES BRISSARDS;A12 - PK 4.5 PORTIQUE DDE;78210;SAINT CYR L ECOLE;"Ouvrage d'art (pont, viaduc)";11.0;DDE
816494;1.7850000000000001;48.867222222222225;"48°52'2.000""N 1°47'6.000""E";78616;LES BRUYERES;R DE LA PORTE ST MARTIN;78770;THOIRY;Pylône tubulaire;34.0;SFR
816496;2.0927777777777776;48.89416666666666;"48°53'39.000""N 2°5'34.000""E";78551;"";11 R RAYMOND GREBAN;78100;SAINT GERMAIN EN LAYE;Immeuble;19.0;"Copropriété, Syndic, SCI"
816506;1.7444444444444445;48.82666666666667;"48°49'36.000""N 1°44'40.000""E";78265;BOIS LES COUARDES;RTE DE BEHOUST D 42;78890;GARANCIERES;Pylône autostable;37.0;HIVORY
816521;1.9077777777777778;48.73583333333333;"48°44'9.000""N 1°54'28.000""E";78168;"";8 R DU PONT DES LANDES CHEM DES ESSARTS;78310;COIGNIERES;Pylône tubulaire;24.0;TOTEM
816569;1.7663888888888888;48.988055555555555;"48°59'17.000""N 1°45'59.000""E";78501;"";11 R DE ROUEN;78440;PORCHEVILLE;Pylône autostable;27.0;TOTEM
816575;2.116388888888889;48.76444444444444;"48°45'52.000""N 2°6'59.000""E";78117;"";65 AV ROLAND GARROS ZA DE BUC;78530;BUC;Pylône autostable;30.0;ATC FRANCE
816583;1.833611111111111;48.96361111111111;"48°57'49.000""N 1°50'1.000""E";78217;"";CHEM DE LA BOURDE A13;78680;EPONE;Pylône tubulaire;30.0;TOTEM
816585;2.0594444444444444;48.93805555555556;"48°56'17.000""N 2°3'34.000""E";78498;"";121 R ST SÉBASTIEN;78300;POISSY;Immeuble;31.5;Société HLM
816587;2.117777777777778;48.901666666666664;"48°54'6.000""N 2°7'4.000""E";78481;"";ALLÉE DES CHARDONNERETS 1 R DES MERLETTES;78230;PECQ;Immeuble;17.0;Société HLM
816589;2.1502777777777777;48.81444444444445;"48°48'52.000""N 2°9'1.000""E";78646;"";R DU GAL PERSHING 24 R JACQUES LEMERCIER;78000;VERSAILLES;Immeuble;28.0;"Copropriété, Syndic, SCI"
